jiscode	name	namekana	building	zipcode	address	tel	source	lat	lon	note
1000	北海道	ほっかいどう	北海道庁	060-8588	札幌市中央区北3条西6-1	011-231-4111	地理院地図	43.064325	141.346878	
1100	札幌市	さっぽろし	札幌市役所	060-8611	札幌市中央区北1条西2丁目	011-211-2111	数値地図	43.061972	141.354374	
1101	札幌市中央区	さっぽろしちゅうおうく	中央区役所	060-8612	札幌市中央区南3条西11丁目330-2	011-231-2400	数値地図	43.05536	141.341005	
1102	札幌市北区	さっぽろしきたく	北区役所	001-8612	札幌市北区北24条西6丁目1-1	011-757-2400	数値地図	43.090693	141.340882	
1103	札幌市東区	さっぽろしひがしく	東区役所	065-8612	札幌市東区北11条東7丁目1-1	011-741-2400	数値地図	43.076242	141.363662	
1104	札幌市白石区	さっぽろししろいしく	白石区役所	003-8612	札幌市白石区南郷通1丁目南8-1	011-861-2400	地理院地図	43.045445	141.396378	
1105	札幌市豊平区	さっぽろしとよひらく	豊平区役所	062-8612	札幌市豊平区平岸6条10丁目1-1	011-822-2400	数値地図	43.03137	141.379974	
1106	札幌市南区	さっぽろしみなみく	南区役所	005-8612	札幌市南区真駒内幸町2丁目2-1	011-582-2400	数値地図	42.989995	141.353496	
1107	札幌市西区	さっぽろしにしく	西区役所	063-8612	札幌市西区琴似2条7丁目1-1	011-641-2400	数値地図	43.074347	141.300898	
1108	札幌市厚別区	さっぽろしあつべつく	厚別区役所	004-8612	札幌市厚別区厚別中央1条5丁目3-2	011-895-2400	数値地図	43.036213	141.474733	
1109	札幌市手稲区	さっぽろしていねく	手稲区役所	006-8612	札幌市手稲区前田1条11丁目1-10	011-681-2400	数値地図	43.121972	141.245782	
1110	札幌市清田区	さっぽろしきよたく	清田区役所	004-8613	札幌市清田区平岡1条1丁目2-1	011-889-2400	数値地図	42.999432	141.443842	
1202	函館市	はこだてし	函館市役所	040-8666	函館市東雲町4-13	0138-21-3111	数値地図	41.768712	140.729108	
1203	小樽市	おたるし	小樽市役所	047-8660	小樽市花園2-12-1	0134-32-4111	数値地図	43.190753	140.994605	
1204	旭川市	あさひかわし	旭川市役所	070-8525	旭川市6条通9丁目	0166-26-1111	数値地図	43.770799	142.364798	
1205	室蘭市	むろらんし	室蘭市役所	051-8511	室蘭市幸町1-2	0143-22-1111	数値地図	42.315204	140.973784	
1206	釧路市	くしろし	釧路市役所	085-8505	釧路市黒金町7-5	0154-23-5151	数値地図	42.984856	144.38167	
1207	帯広市	おびひろし	帯広市役所	080-8670	帯広市西5条南7-1	0155-24-4111	数値地図	42.924014	143.196195	
1208	北見市	きたみし	北見市役所	090-8509	北見市大通西2丁目1番地 まちきた大通ビル	0157-23-7111	地理院地図	43.803993	143.895729	仮設庁舎
1209	夕張市	ゆうばりし	夕張市役所	068-0492	夕張市本町4-2	0123-52-3131	数値地図	43.056814	141.974069	
1210	岩見沢市	いわみざわし	岩見沢市役所	068-8686	岩見沢市鳩が丘1-1-1	0126-23-4111	数値地図	43.196169	141.775857	
1211	網走市	あばしりし	網走市役所	093-8555	網走市南6条東4丁目	0152-44-6111	数値地図	44.020631	144.273422	
1212	留萌市	るもいし	留萌市役所	077-8601	留萌市幸町1-11	0164-42-1801	数値地図	43.940987	141.637009	
